341 	18.531	11.785	40.523	1.849	28.361	38.594	99.12
342 	18.212	10.449	40.299	1.854	28.099	38.609	97.223
343 	17.167	9.085	42.837	2.634	54.346	15.873	99.105
344 	17.824	11.802	41.143	1.842	103.67	15.409	150.547
345 	17.761	10.484	37.969	53.339	29.568	16.085	127.237
346 	15.945	9.085	41.528	35.353	30.79	17.531	108.704
347 	17.302	13.113	42.494	11.517	30.568	28.647	101.147
348 	18.417	10.474	44.019	1.831	16.102	56.541	103.365
349 	18.559	12.511	41.538	1.867	54.456	15.333	102.726
350 	18.356	11.69	37.064	2.556	48.519	16.083	97.204
351 	16.091	10.191	39.493	3.106	30.662	99.767	159.817
352 	15.9	13.967	43.399	36.495	53.675	103.551	223.588
353 	18.091	13.406	40.358	92.292	56.75	71.53	252.069
354 	18.396	12.35	41.082	126.191	53.643	45.583	256.163
355 	18.11	10.631	37.888	156.998	28.841	46.45	261.03
356 	14.544	13.324	40.463	163.48	57.88	17.515	266.743
357 	18.012	12.259	40.524	168.538	30.754	42.478	272.041
358 	18.099	9.627	45.417	174.928	27.885	44.529	275.068
359 	19.105	10.829	40.262	150.575	28.717	44.522	253.748
360 	17.76	14.534	39.702	151.478	28.707	43.529	256.008
361 	17.976	12.811	41.937	154.451	27.805	43.526	256.569
362 	18.157	9.727	43.669	132.56	28.587	43.666	232.697
363 	18.062	12.663	38.69	130.898	27.681	20.489	209.793
364 	17.349	11.062	39.125	111.787	27.845	18.437	186.48
365 	16.132	9.712	41.751	92.699	27.775	41.489	187.807
366 	17.729	12.405	39.665	91.335	4.612	41.591	167.672
367 	17.94	11.085	45.609	70.199	25.695	20.571	145.49
368 	18.678	12.419	40.235	41.919	25.618	20.598	119.232
369 	18.283	10.895	41.105	20.445	25.721	25.539	100.883
370 	18.009	13.277	40.099	1.467	20.929	45.659	99.341
371 	17.91	10.649	39.887	1.489	50.288	46.227	126.563
372 	17.385	9.278	46.33	2.071	59.298	16.118	104.15
373 	19.192	10.681	43.156	3.874	54.971	15.515	104.233
374 	18.315	13.192	40.488	1.998	51.698	15.966	101.169
375 	18.048	10.774	38.243	1.774	49.672	15.549	95.817
376 	16.645	10.814	40.73	1.872	51.331	15.435	96.097
377 	18.031	9.43	40.453	2.512	53.183	15.595	98.751
378 	17.357	13.108	41.075	1.638	51.981	15.808	99.892
379 	17.982	10.516	39.884	1.567	50.188	21.819	102.072
380 	17.487	9.207	39.737	2.132	48.827	29.155	106.808
381 	14.886	9.208	44.51	1.547	56.683	15.663	97.987
382 	17.086	11.766	40.841	1.521	50.449	16.339	97.161
383 	15.517	9.177	37.206	1.505	28.997	42.617	97.813
384 	15.459	10.547	38.225	1.542	10.979	52.581	91.108
385 	15.203	9.236	37.956	1.51	46.337	26.541	98.827
386 	14.854	9.251	39.161	1.403	37.957	31.535	95.0
387 	16.902	10.369	42.421	2.183	16.291	54.593	100.338
388 	17.954	12.672	41.899	1.558	55.361	15.807	103.352
389 	18.012	12.229	41.182	2.211	58.85	16.237	107.539
390 	17.847	12.408	40.08	6.927	28.886	40.54	106.608
391 	17.638	13.848	41.746	2.702	8.747	60.62	103.555
392 	17.697	12.155	40.683	1.906	57.695	16.041	105.494
393 	17.955	13.788	41.723	4.668	50.138	16.103	102.652
394 	18.04	10.609	40.281	1.858	15.881	51.515	97.903
395 	17.665	10.594	42.724	1.855	55.162	16.108	101.384
396 	18.023	11.933	44.008	1.852	57.432	15.864	105.104
397 	18.526	12.479	40.744	2.275	52.656	15.406	101.342
398 	17.917	12.103	40.894	1.437	51.389	16.127	98.973
399 	17.906	9.196	39.474	2.139	48.431	16.114	93.786
400 	14.93	9.174	39.08	1.454	49.61	15.711	90.879
401 	15.48	9.232	38.176	2.166	47.188	15.805	89.871
402 	14.803	9.178	38.044	1.537	47.944	16.075	89.537
403 	14.848	9.169	44.115	1.82	56.9	16.377	99.114
404 	18.643	12.25	42.562	1.826	28.9	44.602	106.221
405 	16.193	9.174	37.707	1.732	32.927	46.521	106.547
406 	15.123	9.168	42.523	16.774	29.706	43.636	114.407
