0	1462795643184355	1462795643198245	1462795643198776	1462795643224855
1	1462795643224920	1462795643234695	1462795643234893	1462795643272227
2	1462795643272282	1462795643281594	1462795643281813	1462795643327816
3	1462795643327887	1462795643339943	1462795643340178	1462795643377596
4	1462795643377637	1462795643388396	1462795643388614	1462795643426125
5	1462795643426177	1462795643436901	1462795643437106	1462795643474356
6	1462795643474409	1462795643485138	1462795643485348	1462795643524363
7	1462795643524426	1462795643533895	1462795643534107	1462795643572334
8	1462795643572410	1462795643581733	1462795643581963	1462795643621764
9	1462795643621827	1462795643631139	1462795643631360	1462795643667881
10	1462795643667929	1462795643678655	1462795643678865	1462795643717204
11	1462795643717268	1462795643726657	1462795643726868	1462795643766663
12	1462795643766743	1462795643776129	1462795643776379	1462795643813466
13	1462795643813530	1462795643822908	1462795643823193	1462795643863201
14	1462795643863273	1462795643876537	1462795643876752	1462795643914219
15	1462795643914265	1462795643926284	1462795643926502	1462795643963511
16	1462795643963563	1462795643975545	1462795643975749	1462795644014031
17	1462795644014100	1462795644024993	1462795644025234	1462795644062704
18	1462795644062739	1462795644073618	1462795644073876	1462795644113658
19	1462795644113692	1462795644123929	1462795644124330	1462795644161449
20	1462795644161484	1462795644170955	1462795644171209	1462795644210097
21	1462795644210131	1462795644219605	1462795644219855	1462795644261128
22	1462795644261176	1462795644274258	1462795644274659	1462795644314694
23	1462795644314743	1462795644325657	1462795644326067	1462795644364157
24	1462795644364220	1462795644373702	1462795644373960	1462795644413256
25	1462795644413289	1462795644423643	1462795644424093	1462795644465107
26	1462795644465155	1462795644477328	1462795644477719	1462795644517703
27	1462795644517751	1462795644528657	1462795644529070	1462795644568139
28	1462795644568187	1462795644578961	1462795644579369	1462795644621419
29	1462795644621466	1462795644633663	1462795644634065	1462795644674082
30	1462795644674130	1462795644685037	1462795644685419	1462795644725347
31	1462795644725395	1462795644738360	1462795644738932	1462795644779073
32	1462795644779117	1462795644791302	1462795644791696	1462795644831119
33	1462795644831196	1462795644845407	1462795644845967	1462795644885941
34	1462795644885990	1462795644898200	1462795644898603	1462795644938620
35	1462795644938667	1462795644949972	1462795644950383	1462795644987836
36	1462795644987871	1462795644997383	1462795644997790	1462795645035468
37	1462795645035502	1462795645045005	1462795645045413	1462795645083478
38	1462795645083532	1462795645094391	1462795645094642	1462795645134567
39	1462795645134614	1462795645144110	1462795645144357	1462795645181490
40	1462795645181524	1462795645194468	1462795645194832	1462795645234031
41	1462795645234107	1462795645246367	1462795645246619	1462795645285952
42	1462795645286001	1462795645296882	1462795645297137	1462795645339861
43	1462795645339902	1462795645353362	1462795645353626	1462795645392637
44	1462795645392684	1462795645403558	1462795645403830	1462795645445457
45	1462795645445491	1462795645456436	1462795645456787	1462795645496314
46	1462795645496362	1462795645509686	1462795645509940	1462795645548392
47	1462795645548470	1462795645559343	1462795645559588	1462795645599845
48	1462795645599893	1462795645613443	1462795645613789	1462795645654126
49	1462795645654170	1462795645666437	1462795645666679	1462795645706531
50	1462795645706579	1462795645717077	1462795645717327	1462795645755477
51	1462795645755512	1462795645765967	1462795645766214	1462795645803750
52	1462795645803805	1462795645812902	1462795645813144	1462795645851303
53	1462795645851352	1462795645864906	1462795645865295	1462795645905880
54	1462795645905929	1462795645918378	1462795645918619	1462795645958746
55	1462795645958789	1462795645969263	1462795645969507	1462795646007198
56	1462795646007231	1462795646016324	1462795646016569	1462795646055270
57	1462795646055305	1462795646065771	1462795646066035	1462795646105338
58	1462795646105401	1462795646114477	1462795646114724	1462795646153673
59	1462795646153707	1462795646162787	1462795646163041	1462795646201731
60	1462795646201765	1462795646210835	1462795646211088	1462795646250910
61	1462795646250959	1462795646264393	1462795646264644	1462795646303592
62	1462795646303627	1462795646315384	1462795646315630	1462795646355606
63	1462795646355661	1462795646366129	1462795646366411	1462795646404436
64	1462795646404470	1462795646413547	1462795646413797	1462795646454037
65	1462795646454072	1462795646463162	1462795646463403	1462795646504443
66	1462795646504491	1462795646517388	1462795646517636	1462795646557649
67	1462795646557697	1462795646568158	1462795646568412	1462795646608582
