1462795661694467	408	281430,
1462795661696326	410	282878,
1462795661696429	411	284326,
1462795661696539	412	285774,
1462795661721359	414	287222,
1462795661721872	415	287309,
1462795661723325	417	288757,
1462795661723428	418	290205,
1462795661749380	420	291653,
1462795661749486	421	293101,
1462795661749590	422	294549,
1462795661749691	423	295997,
1462795661751368	425	297445,
1462795661751469	426	298893,
1462795661777371	428	300327,
1462795661777495	429	301775,
1462795661779358	431	303223,
1462795661779460	432	304671,
1462795661780325	434	306119,
1462795661780451	435	307567,
1462795661781261	437	309015,
1462795661806364	439	310463,
1462795661806464	440	311911,
1462795661808485	442	313345,
1462795661808587	443	314793,
1462795661809462	445	316241,
1462795661809566	446	317689,
1462795661834357	448	319137,
1462795661834461	449	320585,
1462795661835343	451	322033,
1462795661837377	453	323481,
1462795661837479	454	324929,
1462795661838374	456	326113,
1462795661838477	457	327561,
1462795661863361	459	329009,
1462795661863471	460	330457,
1462795661863577	461	331905,
1462795661865527	463	333353,
1462795661865681	464	334801,
1462795661866390	466	336249,
1462795661867378	468	337697,
1462795661868033	469	338881,
1462795661892430	471	340329,
1462795661892567	472	341777,
1462795661893380	474	343225,
1462795661893527	475	344673,
1462795661895519	477	346121,
1462795661895666	478	347569,
1462795661896285	480	349017,
1462795661920389	484	350465,
1462795661921116	485	351649,
1462795661922411	487	353097,
1462795661922539	488	354545,
1462795661923385	490	355993,
1462795661923508	491	357441,
1462795661925454	493	358889,
1462795661925605	494	360337,
1462795661948392	496	361785,
1462795661948500	497	363233,
1462795661950966	499	364417,
1462795661951119	500	365865,
1462795661952366	502	367313,
1462795661952468	503	368761,
1462795661953380	505	370209,
1462795661976470	507	371657,
1462795661976626	508	373105,
1462795661976748	509	374553,
1462795661977379	511	376001,
1462795661981092	513	377185,
1462795661981248	514	378633,
1462795661981435	516	380081,
1462795661981561	517	381529,
1462795662004416	519	382977,
1462795662006441	521	384425,
1462795662006595	522	385873,
1462795662006751	523	387321,
1462795662007302	525	388769,
1462795662011053	527	389953,
1462795662011217	529	391401,
1462795662011362	530	392849,
1462795662011505	531	394297,
1462795662034387	533	395745,
1462795662036500	535	397193,
1462795662036654	536	398641,
1462795662036788	537	400089,
1462795662037324	539	401537,
1462795662046665	542	402721,
