1462795668029020	2306	7a	51	0b	c6	89	f2	158149
1462795668029159	2307	b3	c8	58	2c	87	71	158268
1462795668029294	2308	09	d8	93	43	6d	0b	158387
1462795668029425	2309	72	9d	8c	96	05	cc	158506
1462795668029562	2310	c4	79	31	bd	af	d6	158625
1462795668035212	2312	40	24	24	b8	93	b0	158744
1462795668035331	2313	b0	0d	ce	6f	10	05	158863
1462795668079585	2319	9d	01	2a	00	02	00	158932
1462795668079745	2320	79	e9	f9	63	4a	9e	159051
1462795668079881	2321	7a	51	0b	c6	89	f2	159170
1462795668080019	2322	b3	c8	58	2c	87	71	159289
1462795668080185	2323	09	d8	93	43	6d	0b	159408
1462795668080294	2324	72	9d	8c	96	05	cc	159527
1462795668080434	2325	c4	79	31	bd	af	d6	159646
1462795668080556	2326	40	24	24	b8	93	b0	159765
1462795668080693	2327	b0	0d	ce	6f	10	05	159884
1462795668133513	2332	9d	01	2a	00	02	00	159953
1462795668133668	2333	79	e9	f9	63	4a	9e	160072
1462795668133808	2334	7a	51	0b	c6	89	f2	160191
1462795668133956	2335	b3	c8	58	2c	87	71	160310
1462795668134084	2336	09	d8	93	43	6d	0b	160429
1462795668134222	2337	72	9d	8c	96	05	cc	160548
1462795668134344	2338	c4	79	31	bd	af	d6	160667
1462795668134451	2339	40	24	24	b8	93	b0	160786
1462795668134553	2340	b0	0d	ce	6f	10	05	160905
1462795668185586	2345	9d	01	2a	00	02	00	160974
1462795668185738	2346	79	e9	f9	63	4a	9e	161093
1462795668185880	2347	7a	51	0b	c6	89	f2	161212
1462795668186035	2348	b3	c8	58	2c	87	71	161331
1462795668186173	2349	09	d8	93	43	6d	0b	161450
1462795668186300	2350	72	9d	8c	96	05	cc	161569
1462795668186439	2351	c4	79	31	bd	af	d6	161688
1462795668186545	2352	40	24	24	b8	93	b0	161807
1462795668186646	2353	b0	0d	ce	6f	10	05	161926
1462795668233676	2357	9d	01	2a	00	02	00	161995
1462795668233824	2358	79	e9	f9	63	4a	9e	162114
1462795668233957	2359	7a	51	0b	c6	89	f2	162233
1462795668234081	2360	b3	c8	58	2c	87	71	162352
1462795668234223	2361	09	d8	93	43	6d	0b	162471
1462795668234353	2362	72	9d	8c	96	05	cc	162590
1462795668234475	2363	c4	79	31	bd	af	d6	162709
1462795668234581	2364	40	24	24	b8	93	b0	162828
1462795668234684	2365	b0	0d	ce	6f	10	05	162947
1462795668287154	2369	9d	01	2a	00	02	00	163016
1462795668287301	2370	79	e9	f9	63	4a	9e	163135
1462795668287416	2371	7a	51	0b	c6	89	f2	163254
1462795668287550	2372	b3	c8	58	2c	87	71	163373
1462795668287683	2373	09	d8	93	43	6d	0b	163492
1462795668287819	2374	72	9d	8c	96	05	cc	163611
1462795668287966	2375	c4	79	31	bd	af	d6	163730
1462795668288116	2376	40	24	24	b8	93	b0	163849
1462795668288223	2377	b0	0d	ce	6f	10	05	163968
1462795668344822	2381	9d	01	2a	00	02	00	164037
1462795668344977	2382	79	e9	f9	63	4a	9e	164156
1462795668345112	2383	7a	51	0b	c6	89	f2	164275
1462795668345259	2384	b3	c8	58	2c	87	71	164394
1462795668345417	2385	09	d8	93	43	6d	0b	164513
1462795668345552	2386	72	9d	8c	96	05	cc	164632
1462795668345689	2387	c4	79	31	bd	af	d6	164751
1462795668345833	2388	40	24	24	b8	93	b0	164870
1462795668345938	2389	b0	0d	ce	6f	10	05	164989
1462795668375188	2393	9d	01	2a	00	02	00	165058
1462795668403843	2400	9d	01	2a	00	02	00	165177
1462795668403992	2401	79	e9	f9	63	4a	9e	165296
1462795668404109	2402	7a	51	0b	c6	89	f2	165415
1462795668404238	2403	b3	c8	58	2c	87	71	165534
1462795668404394	2404	09	d8	93	43	6d	0b	165653
1462795668404532	2405	72	9d	8c	96	05	cc	165772
1462795668404668	2406	c4	79	31	bd	af	d6	165891
1462795668432395	2410	40	24	24	b8	93	b0	166010
1462795668432519	2411	b0	0d	ce	6f	10	05	166129
1462795668451910	2418	9d	01	2a	00	02	00	166198
1462795668452057	2419	79	e9	f9	63	4a	9e	166317
1462795668452191	2420	7a	51	0b	c6	89	f2	166436
1462795668452295	2421	b3	c8	58	2c	87	71	166555
1462795668452398	2422	09	d8	93	43	6d	0b	166674
1462795668452511	2423	72	9d	8c	96	05	cc	166793
1462795668452610	2424	c4	79	31	bd	af	d6	166912
1462795668460333	2426	40	24	24	b8	93	b0	167033
1462795668461326	2428	b0	0d	ce	6f	10	05	167154
1462795668504464	2436	9d	01	2a	00	02	00	167225
1462795668504620	2437	79	e9	f9	63	4a	9e	167346
1462795668504751	2438	7a	51	0b	c6	89	f2	167467
1462795668504873	2439	b3	c8	58	2c	87	71	167588
1462795668505019	2440	09	d8	93	43	6d	0b	167709
1462795668505150	2441	72	9d	8c	96	05	cc	167830
1462795668505284	2442	c4	79	31	bd	af	d6	167951
1462795668505390	2443	40	24	24	b8	93	b0	168072
1462795668505491	2444	b0	0d	ce	6f	10	05	168193
1462795668560084	2449	9d	01	2a	00	02	00	168262
1462795668560199	2450	ad	20	9a	b5	c3	fa	168381
1462795668560352	2451	21	b3	ca	ec	02	1c	168500
1462795668560488	2452	4a	e2	e4	6b	76	19	168619
1462795668560624	2453	11	dc	5e	8d	0a	9c	168738
1462795668560750	2454	ea	c3	28	55	62	ea	168857
1462795668560902	2455	a5	35	d4	f4	d7	18	168976
1462795668561042	2456	4f	87	a1	8f	07	99	169095
1462795668612764	2461	9d	01	2a	00	02	00	169214
1462795668612911	2462	1f	a2	b3	f1	e0	df	169333
1462795668613067	2463	2b	17	a6	ec	dd	fa	169452
1462795668613191	2464	b9	fc	f5	4f	d1	75	169571
1462795668613334	2465	ee	e4	f6	7f	b3	1f	169690
1462795668613479	2466	dd	5c	37	ce	3c	be	169809
1462795668613589	2467	36	cc	88	50	3d	f5	169928
1462795668613748	2468	e0	ad	90	3f	40	20	170047
1462795668613855	2469	60	ad	17	66	58	2c	170166
1462795668667813	2474	9d	01	2a	00	02	00	170199
1462795668667984	2475	14	76	7b	28	be	23	170318
1462795668668119	2476	f6	54	fa	b8	6a	6d	170437
1462795668668228	2477	70	72	aa	0d	b2	50	170556
1462795668668370	2478	c4	1d	ee	74	68	f5	170675
1462795668668479	2479	06	ea	6b	d9	37	99	170794
1462795668668626	2480	72	09	ec	b0	7f	a3	170913
1462795668668758	2481	86	14	a1	9c	a7	a2	171032
1462795668668908	2482	cc	71	42	5a	95	75	171151
1462795668723672	2487	9d	01	2a	00	02	00	171187
1462795668723826	2488	c8	70	5f	0b	18	53	171306
1462795668723957	2489	5a	dd	63	48	8b	c8	171425
1462795668724108	2490	8d	b4	33	5b	39	2f	171544
1462795668724263	2491	85	7c	53	91	c2	76	171663
1462795668724400	2492	05	45	e0	12	2d	f5	171782
1462795668724546	2493	67	c1	73	b9	72	df	171901
1462795668724683	2494	1a	e9	bc	d6	cf	dc	172020
1462795668724811	2495	5a	d6	9d	f2	ca	4b	172139
1462795668774232	2500	9d	01	2a	00	02	00	172191
1462795668774385	2501	c8	70	5f	0b	18	53	172310
1462795668774501	2502	5a	dd	63	48	8b	c8	172429
1462795668774647	2503	8d	b4	33	5b	39	2f	172548
1462795668774771	2504	85	7c	53	91	c2	76	172667
1462795668774911	2505	05	45	e0	12	2d	f5	172786
1462795668775058	2506	67	c1	73	b9	72	df	172905
1462795668775165	2507	1a	e9	bc	d6	cf	dc	173024
1462795668775266	2508	5a	d6	9d	f2	ca	4b	173143
1462795668827551	2514	9d	01	2a	00	02	00	173195
1462795668827698	2515	1a	b7	bd	94	44	1a	173314
1462795668827845	2516	08	b9	fd	38	61	13	173433
1462795668827992	2517	79	2e	4f	9e	80	13	173552
1462795668828100	2518	38	aa	38	64	47	97	173671
1462795668828243	2519	e9	57	2d	1a	8e	47	173790
1462795668828375	2520	79	9a	45	f4	cb	3c	173909
1462795668828480	2521	8d	33	57	ff	aa	31	174028
1462795668828580	2522	88	c1	c1	9f	ba	c7	174147
1462795668879011	2527	9d	01	2a	00	02	00	174207
1462795668879165	2528	1a	b7	bd	94	44	1a	174326
1462795668879324	2529	08	b9	fd	38	61	13	174445
1462795668879452	2530	79	2e	4f	9e	80	13	174564
1462795668879595	2531	38	aa	38	64	47	97	174683
1462795668879738	2532	e9	57	2d	1a	8e	47	174802
1462795668879843	2533	79	9a	45	f4	cb	3c	174921
1462795668879950	2534	8d	33	57	ff	aa	31	175040
1462795668880051	2535	88	c1	c1	9f	ba	c7	175159
1462795668930703	2542	9d	01	2a	00	02	00	175219
1462795668930854	2543	60	f3	3d	27	57	b0	175338
1462795668930989	2544	c7	e5	e2	fc	ce	01	175457
1462795668931144	2545	e2	db	0a	6f	2d	8f	175576
1462795668931299	2546	49	63	ff	17	81	31	175695
1462795668931432	2547	bf	8e	d0	97	c6	75	175814
1462795668931575	2548	26	a3	d9	e0	81	b6	175935
1462795668931700	2549	45	66	39	c2	9b	ce	176056
1462795668931805	2550	db	3c	91	44	d3	30	176177
1462795668981006	2555	9d	01	2a	00	02	00	176242
1462795668981160	2556	30	d8	d6	05	3d	6e	176363
1462795668981293	2557	47	f5	c5	a8	56	6e	176484
1462795668981435	2558	4f	01	62	fb	7b	07	176605
1462795668981568	2559	65	b1	8f	0a	ea	75	176726
1462795668981694	2560	b3	c9	69	71	2a	bf	176847
1462795668981801	2561	20	c4	3a	3a	4b	3a	176968
1462795668981937	2562	b0	58	bf	75	22	7e	177089
1462795668982043	2563	a9	b1	c3	6d	18	da	177210
1462795669033829	2568	9d	01	2a	00	02	00	177289
1462795669033978	2569	23	4d	e7	ed	95	61	177408
1462795669034094	2570	bb	4e	ee	02	db	9b	177527
1462795669034232	2571	2b	75	f0	63	4d	a0	177646
1462795669034355	2572	35	f5	f9	af	ca	de	177765
1462795669034503	2573	b3	a4	b5	04	38	3c	177884
1462795669034633	2574	c8	7b	b5	c9	fa	18	178003
1462795669034748	2575	c4	e9	62	62	f3	6d	178122
1462795669080772	2579	9d	01	2a	00	02	00	178179
1462795669080919	2580	5c	7d	0a	23	3e	40	178300
1462795669081034	2581	c1	7c	b5	83	f3	5e	178421
1462795669081172	2582	ec	d0	3e	89	ab	63	178542
1462795669081297	2583	df	b9	53	96	64	3c	178663
1462795669081406	2584	ae	47	a0	f0	12	5f	178784
1462795669081555	2585	1e	61	35	2e	50	04	178905
1462795669081665	2586	d1	bf	3d	cf	23	59	179026
1462795669136136	2591	9d	01	2a	00	02	00	179095
1462795669136283	2592	4b	c6	38	18	79	32	179216
1462795669136420	2593	a1	a7	5f	55	3e	31	179337
1462795669136562	2594	4b	1a	4c	12	ed	0f	179458
1462795669136719	2595	a0	95	e0	e2	ee	6d	179579
1462795669136843	2596	69	b3	00	5a	7e	9b	179700
1462795669136995	2597	af	40	48	0c	57	95	179821
1462795669137125	2598	01	b1	6d	f0	5d	e3	179942
1462795669195531	2603	9d	01	2a	00	02	00	180026
1462795669195651	2604	3f	82	33	fd	bc	bd	180147
1462795669195784	2605	12	99	fb	bc	b8	ef	180268
1462795669195938	2606	a9	75	63	53	44	32	180389
1462795669196083	2607	a1	44	1b	94	09	9b	180510
1462795669196218	2608	29	ce	92	e4	f2	5a	180631
1462795669196369	2609	1e	8d	0b	3c	ee	eb	180750
1462795669196478	2610	30	8c	98	f4	8f	4a	180869
1462795669248076	2614	9d	01	2a	00	02	00	180969
1462795669248225	2615	c6	08	56	ba	d2	d9	181088
1462795669248358	2616	41	e4	06	bf	c9	92	181207
1462795669248513	2617	7e	94	d4	f2	95	f7	181326
1462795669248622	2618	0b	60	b0	c0	6a	9e	181445
1462795669248745	2619	86	52	df	e1	55	78	181564
1462795669248887	2620	00	00	b5	12	1d	b0	181683
1462795669248993	2621	7a	28	4f	8e	36	8a	181802
1462795669249096	2622	e9	79	df	b4	02	c0	181921
1462795669299221	2627	9d	01	2a	00	02	00	181971
1462795669299372	2628	c6	08	56	ba	d2	d9	182090
1462795669299503	2629	41	e4	06	bf	c9	92	182209
1462795669299652	2630	7e	94	d4	f2	95	f7	182328
1462795669299806	2631	0b	60	b0	c0	6a	9e	182447
1462795669299930	2632	86	52	df	e1	55	78	182566
1462795669300054	2633	00	00	b5	12	1d	b0	182685
1462795669300160	2634	7a	28	4f	8e	36	8a	182804
1462795669300263	2635	e9	79	df	b4	02	c0	182923
1462795669348108	2640	9d	01	2a	00	02	00	182973
1462795669348252	2641	03	eb	7d	4e	48	55	183092
1462795669348379	2642	0d	6c	89	12	66	e0	183211
1462795669348534	2643	93	f7	1b	f9	57	e7	183330
1462795669348669	2644	6b	1b	fb	e4	5b	01	183449
1462795669348810	2645	a0	e3	cf	cd	3d	ea	183568
1462795669348916	2646	05	9f	1d	78	fa	07	183687
1462795669349019	2647	25	f4	67	51	7b	4f	183806
1462795669349119	2648	e3	c1	9b	2e	f6	52	183925
1462795669401359	2653	9d	01	2a	00	02	00	183983
1462795669401507	2654	03	eb	7d	4e	48	55	184102
1462795669401639	2655	0d	6c	89	12	66	e0	184221
1462795669401762	2656	93	f7	1b	f9	57	e7	184340
1462795669401889	2657	6b	1b	fb	e4	5b	01	184459
1462795669402034	2658	a0	e3	cf	cd	3d	ea	184578
1462795669402159	2659	05	9f	1d	78	fa	07	184697
1462795669402297	2660	25	f4	67	51	7b	4f	184816
1462795669402404	2661	e3	c1	9b	2e	f6	52	184935
1462795669453975	2668	9d	01	2a	00	02	00	184993
1462795669454130	2669	44	22	a6	65	3c	52	185112
1462795669454245	2670	cc	85	f6	4f	94	49	185233
1462795669454377	2671	7f	2c	73	ab	1a	77	185354
1462795669454523	2672	1c	2e	7a	94	b5	ae	185475
1462795669454655	2673	11	e9	02	15	17	fc	185596
1462795669454781	2674	72	c2	97	82	bf	5e	185717
1462795669454885	2675	35	b0	5c	b9	dc	5c	185838
1462795669454985	2676	23	ed	00	92	61	01	185959
1462795669505163	2681	9d	01	2a	00	02	00	186031
1462795669505315	2682	db	ad	44	b0	9b	8d	186152
1462795669505460	2683	b7	83	d7	d1	3b	93	186273
1462795669505589	2684	ac	16	e3	c1	b6	e6	186394
1462795669505724	2685	f9	73	b9	3f	a3	64	186515
1462795669505862	2686	74	61	b6	af	fa	c8	186636
1462795669506013	2687	0e	a1	03	54	05	73	186757
1462795669506120	2688	b5	5b	e3	e0	ad	15	186878
1462795669506223	2689	67	bb	86	16	6f	92	186999
1462795669553523	2694	9d	01	2a	00	02	00	187117
1462795669553667	2695	db	ad	44	b0	9b	8d	187236
1462795669553799	2696	b7	83	d7	d1	3b	93	187355
1462795669553922	2697	ac	16	e3	c1	b6	e6	187474
1462795669554053	2698	f9	73	b9	3f	a3	64	187593
1462795669554203	2699	74	61	b6	af	fa	c8	187712
1462795669554306	2700	0e	a1	03	54	05	73	187831
1462795669554409	2701	b5	5b	e3	e0	ad	15	187950
1462795669554509	2702	67	bb	86	16	6f	92	188069
1462795669602700	2706	9d	01	2a	00	02	00	188187
1462795669602859	2707	7c	1c	95	d8	71	41	188306
1462795669602975	2708	a0	45	e1	de	38	da	188425
1462795669603109	2709	70	f9	28	14	f1	7e	188544
1462795669603232	2710	b6	ad	7f	ea	5a	9b	188663
1462795669603363	2711	3c	98	4e	97	55	9d	188782
1462795669603508	2712	63	4f	0b	46	75	d6	188901
1462795669603616	2713	40	00	f3	56	a7	7f	189020
1462795669603717	2714	13	64	f3	b4	d9	7f	189139
1462795669656030	2719	9d	01	2a	00	02	00	189247
1462795669656183	2720	7c	1c	95	d8	71	41	189366
1462795669656328	2721	a0	45	e1	de	38	da	189485
1462795669656458	2722	70	f9	28	14	f1	7e	189604
1462795669656597	2723	b6	ad	7f	ea	5a	9b	189723
1462795669656747	2724	3c	98	4e	97	55	9d	189842
1462795669656854	2725	63	4f	0b	46	75	d6	189961
1462795669656958	2726	40	00	f3	56	a7	7f	190080
1462795669657058	2727	13	64	f3	b4	d9	7f	190199
1462795669706807	2732	9d	01	2a	00	02	00	190307
1462795669706974	2733	7c	1c	95	d8	71	41	190426
1462795669707090	2734	a0	45	e1	de	38	da	190545
1462795669707223	2735	70	f9	28	14	f1	7e	190664
1462795669707367	2736	b6	ad	7f	ea	5a	9b	190783
1462795669707520	2737	3c	98	4e	97	55	9d	190902
1462795669707626	2738	63	4f	0b	46	75	d6	191021
1462795669707727	2739	40	00	f3	56	a7	7f	191140
1462795669707827	2740	13	64	f3	b4	d9	7f	191259
1462795669758593	2745	9d	01	2a	00	02	00	191367
1462795669758739	2746	7c	1c	95	d8	71	41	191486
1462795669758872	2747	a0	45	e1	de	38	da	191605
1462795669759015	2748	70	f9	28	14	f1	7e	191724
1462795669759124	2749	b6	ad	7f	ea	5a	9b	191843
1462795669759263	2750	3c	98	4e	97	55	9d	191962
1462795669759368	2751	63	4f	0b	46	75	d6	192081
1462795669759471	2752	40	00	f3	56	a7	7f	192200
1462795669759572	2753	13	64	f3	b4	d9	7f	192319
1462795669809047	2758	9d	01	2a	00	02	00	192427
1462795669809198	2759	7c	1c	95	d8	71	41	192546
1462795669809337	2760	a0	45	e1	de	38	da	192665
1462795669809482	2761	70	f9	28	14	f1	7e	192784
1462795669809617	2762	b6	ad	7f	ea	5a	9b	192903
1462795669809779	2763	3c	98	4e	97	55	9d	193022
1462795669809917	2764	63	4f	0b	46	75	d6	193141
1462795669810053	2765	40	00	f3	56	a7	7f	193260
1462795669810162	2766	13	64	f3	b4	d9	7f	193379
1462795669861976	2772	9d	01	2a	00	02	00	193487
1462795669862123	2773	7c	1c	95	d8	71	41	193606
1462795669862238	2774	a0	45	e1	de	38	da	193725
1462795669862376	2775	70	f9	28	14	f1	7e	193844
1462795669862499	2776	b6	ad	7f	ea	5a	9b	193963
1462795669862607	2777	3c	98	4e	97	55	9d	194082
1462795669862751	2778	63	4f	0b	46	75	d6	194201
1462795669862857	2779	40	00	f3	56	a7	7f	194320
1462795669862958	2780	13	64	f3	b4	d9	7f	194439
1462795669919593	2788	9d	01	2a	00	02	00	194547
1462795669919730	2789	7c	1c	95	d8	71	41	194666
1462795669919889	2790	a0	45	e1	de	38	da	194785
1462795669920019	2791	70	f9	28	14	f1	7e	194904
1462795669920150	2792	b6	ad	7f	ea	5a	9b	195023
1462795669920300	2793	3c	98	4e	97	55	9d	195142
1462795669920408	2794	63	4f	0b	46	75	d6	195261
1462795669920539	2795	40	00	f3	56	a7	7f	195380
1462795669920694	2796	13	64	f3	b4	d9	7f	195499
1462795669969064	2801	9d	01	2a	00	02	00	195607
1462795669969216	2802	7c	1c	95	d8	71	41	195726
1462795669969344	2803	a0	45	e1	de	38	da	195845
1462795669969474	2804	70	f9	28	14	f1	7e	195966
1462795669969616	2805	b6	ad	7f	ea	5a	9b	196087
1462795669969739	2806	3c	98	4e	97	55	9d	196208
1462795669969891	2807	63	4f	0b	46	75	d6	196329
1462795669970014	2808	40	00	f3	56	a7	7f	196450
1462795669970169	2809	13	64	f3	b4	d9	7f	196571
1462795670024204	2815	9d	01	2a	00	02	00	196681
1462795670024350	2816	b1	a5	4f	3a	9a	04	196802
1462795670024479	2817	d3	00	48	e7	1f	91	196923
1462795670024622	2818	3e	1b	7b	32	19	53	197041
1462795670024755	2819	fe	df	39	90	f7	6d	197162
1462795670024914	2820	c4	76	0c	bc	87	b6	197283
1462795670025041	2821	eb	66	a4	a2	be	18	197404
1462795670025146	2822	ca	6e	82	30	38	59	197525
1462795670025286	2823	26	5c	af	d6	9b	e4	197646
1462795670076828	2828	9d	01	2a	00	02	00	197744
1462795670076942	2829	b1	a5	4f	3a	9a	04	197863
1462795670077072	2830	d3	00	48	e7	1f	91	197982
1462795670077224	2831	3e	1b	7b	32	19	53	198098
1462795670077343	2832	fe	df	39	90	f7	6d	198217
1462795670077486	2833	c4	76	0c	bc	87	b6	198336
1462795670077613	2834	eb	66	a4	a2	be	18	198455
1462795670077757	2835	ca	6e	82	30	38	59	198574
1462795670077860	2836	26	5c	af	d6	9b	e4	198693
1462795670132214	2841	9d	01	2a	00	02	00	198791
1462795670132330	2842	b1	a5	4f	3a	9a	04	198910
1462795670132463	2843	d3	00	48	e7	1f	91	199029
1462795670132600	2844	3e	1b	7b	32	19	53	199145
1462795670132725	2845	fe	df	39	90	f7	6d	199264
1462795670132857	2846	c4	76	0c	bc	87	b6	199383
1462795670133006	2847	eb	66	a4	a2	be	18	199502
1462795670133133	2848	ca	6e	82	30	38	59	199621
1462795670133254	2849	26	5c	af	d6	9b	e4	199740
1462795670184461	2854	9d	01	2a	00	02	00	199838
1462795670184599	2855	b1	a5	4f	3a	9a	04	199957
1462795670184729	2856	d3	00	48	e7	1f	91	200076
1462795670184870	2857	3e	1b	7b	32	19	53	200192
1462795670185005	2858	fe	df	39	90	f7	6d	200311
1462795670185148	2859	c4	76	0c	bc	87	b6	200430
1462795670185312	2860	eb	66	a4	a2	be	18	200549
1462795670185441	2861	ca	6e	82	30	38	59	200668
1462795670185546	2862	26	5c	af	d6	9b	e4	200787
1462795670232566	2868	9d	01	2a	00	02	00	200885
1462795670232681	2869	b1	a5	4f	3a	9a	04	201004
1462795670232783	2870	d3	00	48	e7	1f	91	201123
1462795670232891	2871	3e	1b	7b	32	19	53	201239
1462795670232993	2872	fe	df	39	90	f7	6d	201358
1462795670233095	2873	c4	76	0c	bc	87	b6	201477
1462795670233196	2874	eb	66	a4	a2	be	18	201596
1462795670233296	2875	ca	6e	82	30	38	59	201715
1462795670233398	2876	26	5c	af	d6	9b	e4	201834
1462795670284067	2882	9d	01	2a	00	02	00	201932
1462795670284235	2883	b1	a5	4f	3a	9a	04	202051
1462795670284369	2884	d3	00	48	e7	1f	91	202170
1462795670284517	2885	3e	1b	7b	32	19	53	202286
1462795670284697	2886	fe	df	39	90	f7	6d	202405
1462795670284833	2887	c4	76	0c	bc	87	b6	202524
1462795670284938	2888	eb	66	a4	a2	be	18	202643
1462795670285039	2889	ca	6e	82	30	38	59	202762
1462795670285140	2890	26	5c	af	d6	9b	e4	202881
1462795670333011	2896	9d	01	2a	00	02	00	202979
1462795670333157	2897	b1	a5	4f	3a	9a	04	203098
1462795670333293	2898	d3	00	48	e7	1f	91	203217
1462795670333416	2899	3e	1b	7b	32	19	53	203333
1462795670333540	2900	fe	df	39	90	f7	6d	203452
1462795670333684	2901	c4	76	0c	bc	87	b6	203571
1462795670333791	2902	eb	66	a4	a2	be	18	203690
1462795670333897	2903	ca	6e	82	30	38	59	203809
1462795670334000	2904	26	5c	af	d6	9b	e4	203928
1462795670379896	2910	9d	01	2a	00	02	00	204026
1462795670380039	2911	b1	a5	4f	3a	9a	04	204145
1462795670380154	2912	d3	00	48	e7	1f	91	204264
1462795670380285	2913	3e	1b	7b	32	19	53	204380
1462795670380415	2914	fe	df	39	90	f7	6d	204499
1462795670380523	2915	c4	76	0c	bc	87	b6	204618
1462795670380637	2916	eb	66	a4	a2	be	18	204737
1462795670380737	2917	ca	6e	82	30	38	59	204856
1462795670380842	2918	26	5c	af	d6	9b	e4	204975
1462795670427903	2925	9d	01	2a	00	02	00	205073
1462795670428039	2926	b1	a5	4f	3a	9a	04	205192
1462795670428171	2927	d3	00	48	e7	1f	91	205311
1462795670428309	2928	3e	1b	7b	32	19	53	205427
1462795670428435	2929	fe	df	39	90	f7	6d	205546
1462795670428570	2930	c4	76	0c	bc	87	b6	205665
1462795670428676	2931	eb	66	a4	a2	be	18	205784
1462795670428782	2932	ca	6e	82	30	38	59	205903
1462795670428884	2933	26	5c	af	d6	9b	e4	206022
1462795670480077	2938	9d	01	2a	00	02	00	206120
1462795670480226	2939	b1	a5	4f	3a	9a	04	206239
1462795670480367	2940	d3	00	48	e7	1f	91	206358
1462795670480502	2941	3e	1b	7b	32	19	53	206474
1462795670480633	2942	fe	df	39	90	f7	6d	206595
1462795670480782	2943	c4	76	0c	bc	87	b6	206716
1462795670480914	2944	eb	66	a4	a2	be	18	206837
1462795670481019	2945	ca	6e	82	30	38	59	206958
1462795670481122	2946	26	5c	af	d6	9b	e4	207079
1462795670534815	2951	9d	01	2a	00	02	00	207179
1462795670534929	2952	2e	ce	ec	5a	41	f8	207300
1462795670535039	2953	00	cc	5d	9f	06	51	207421
1462795670535152	2954	ef	61	40	ae	2b	b8	207542
1462795670535253	2955	4d	17	d0	f8	07	e4	207663
1462795670535355	2956	1b	81	14	ed	7c	9d	207784
1462795670535454	2957	d1	f7	14	d9	60	d9	207905
1462795670535554	2958	b9	4c	48	7f	af	8d	208026
1462795670535655	2959	b2	d2	1d	99	43	d0	208147
1462795670535754	2960	76	24	99	94	fc	71	208265
1462795670535854	2961	01	32	eb	2a	fa	d0	208382
1462795670587254	2968	9d	01	2a	00	02	00	208426
1462795670587389	2969	5d	7a	9f	b6	26	13	208541
1462795670587519	2970	79	40	21	3e	47	69	208656
1462795670587655	2971	8c	d4	97	fc	55	54	208771
1462795670587807	2972	c4	24	b6	09	b1	d4	208886
1462795670587939	2973	47	74	05	b3	36	06	209001
1462795670588045	2974	98	4f	ab	2c	51	90	209116
1462795670588148	2975	5f	33	6f	56	bf	03	209231
1462795670588249	2976	21	a0	28	31	8e	d3	209346
1462795670588356	2977	ec	0a	f0	58	d1	a3	209461
1462795670632527	2981	9d	01	2a	00	02	00	209537
1462795670632642	2982	56	f4	f8	80	4e	c8	209652
1462795670632816	2983	e4	3e	51	d2	3a	17	209767
1462795670632968	2984	a9	c4	82	d9	98	25	209882
1462795670633098	2985	bd	ee	85	cb	e8	51	209997
1462795670633242	2986	bd	e3	55	47	a9	a1	210112
1462795670633369	2987	d3	aa	85	8a	b1	c7	210227
1462795670633474	2988	00	5d	9f	fc	9f	d0	210342
1462795670633576	2989	23	b0	5d	4b	a2	6c	210457
1462795670633677	2990	f4	e3	39	59	a1	a2	210572
1462795670662558	2994	9d	01	2a	00	02	00	210624
1462795670691193	3002	9d	01	2a	00	02	00	210739
1462795670691352	3003	f2	ee	73	c8	d0	96	210854
1462795670691508	3004	0b	8f	a3	db	1f	ff	210969
1462795670691640	3005	ae	4e	06	a0	83	49	211084
1462795670691818	3006	d9	79	ea	b3	2c	3a	211199
1462795670691927	3007	23	fa	f1	87	63	df	211314
1462795670692036	3008	64	a1	fb	af	96	57	211429
1462795670719693	3010	9c	20	80	7f	ad	b3	211544
1462795670719842	3011	a3	27	e1	16	a0	46	211659
1462795670720656	3013	38	dc	b1	1e	1c	2d	211774
1462795670737853	3019	9d	01	2a	00	02	00	211819
1462795670738001	3020	dd	bc	9e	cc	3e	68	211934
1462795670738143	3021	4c	9d	3d	56	7f	db	212049
1462795670738289	3022	db	0e	aa	66	e7	a3	212164
1462795670738415	3023	51	e5	be	85	95	22	212279
1462795670738545	3024	8e	7f	55	0b	c1	ff	212394
1462795670747741	3026	f5	84	77	66	41	06	212509
1462795670748716	3028	c0	50	a1	1c	fc	cd	212624
1462795670749659	3030	f0	91	7e	8a	8a	41	212739
1462795670766857	3033	b5	6b	46	e1	11	ba	212854
1462795670789204	3038	9d	01	2a	00	02	00	212883
1462795670789353	3039	4f	cb	1a	54	f3	d3	212998
1462795670789466	3040	f8	f2	a1	73	d8	91	213113
1462795670789570	3041	a3	d7	c4	75	3a	d2	213228
1462795670789671	3042	83	5f	ef	67	d0	4e	213343
1462795670789771	3043	6e	e1	20	b0	14	58	213458
1462795670789873	3044	62	ff	9e	25	6f	08	213573
1462795670794655	3046	3f	02	99	7e	62	e6	213688
1462795670794764	3047	13	d8	fe	ab	7b	24	213803
1462795670837093	3051	9d	01	2a	00	02	00	213917
1462795670837250	3052	4f	cb	1a	54	f3	d3	214032
1462795670837382	3053	f8	f2	a1	73	d8	91	214147
1462795670837527	3054	a3	d7	c4	75	3a	d2	214262
1462795670837664	3055	83	5f	ef	67	d0	4e	214377
1462795670837845	3056	6e	e1	20	b0	14	58	214492
1462795670838000	3057	62	ff	9e	25	6f	08	214607
