1462795661119401	243	be	19	81	36	88	9f	12283
1462795661120267	245	4f	f2	27	eb	2e	d7	12404
1462795661121249	247	04	a2	d4	4d	31	51	12525
1462795661147261	249	93	d3	6e	ad	53	de	12646
1462795661148228	251	9f	fe	ab	44	af	aa	12767
1462795661149238	253	3c	73	c8	0e	6c	54	12888
1462795661175273	255	01	fb	31	40	af	88	13009
1462795661175379	256	fe	f4	90	9e	b0	24	13130
1462795661177278	258	2b	98	7a	46	ea	23	13251
1462795661177380	259	8c	c1	d4	65	15	10	13372
1462795661204279	261	b6	2a	f8	98	6c	ce	13493
1462795661204410	262	82	7a	6e	83	27	06	13614
1462795661204516	263	2f	4e	88	61	38	1d	13735
1462795661206282	265	62	20	f4	89	ee	2c	13856
1462795661206384	266	19	47	ac	a9	b5	5d	13977
1462795661233298	268	4f	fa	57	52	3e	c3	14098
1462795661233407	269	65	7a	43	7d	d1	98	14219
1462795661234288	271	67	e2	2a	3f	20	5b	14340
1462795661234390	272	af	62	b6	d3	1b	43	14461
1462795661263292	274	10	f7	2a	5c	8a	98	14582
1462795661263395	275	3f	4a	e8	9b	a9	0b	14703
1462795661263497	276	c4	0d	32	d9	1a	a2	14824
1462795661263598	277	ec	32	b5	a7	e5	a8	14945
1462795661291301	279	c3	a7	fb	a2	bd	92	15066
1462795661291403	280	d7	76	da	3f	30	fa	15187
1462795661292248	282	20	ad	67	30	26	2e	15308
1462795661292350	283	12	85	10	1a	31	39	15429
1462795661319282	285	e5	90	4b	80	5f	ab	15550
1462795661319385	286	13	e1	8e	22	d5	6f	15671
1462795661321301	288	d7	60	4d	24	f4	e5	15792
1462795661321403	289	a0	01	3f	ab	58	3d	15913
1462795661347303	291	6c	d0	36	82	7c	23	16032
1462795661347411	292	b0	2f	e7	3f	d3	fb	16151
1462795661347524	293	af	ce	94	8e	3c	01	16270
1462795661349299	295	1d	db	e5	c1	48	c0	16389
1462795661349402	296	55	6b	fd	1b	31	bf	16508
1462795661375294	298	68	65	72	7f	ca	ae	16627
1462795661375397	299	41	2a	ec	42	c7	e3	16746
1462795661376306	301	f8	75	63	e7	31	73	16865
1462795661376407	302	72	23	43	7e	61	24	16984
1462795661378313	304	5e	ee	b4	af	51	c5	17103
1462795661378411	305	a5	c5	be	64	41	c9	17222
1462795661404204	307	e5	4d	04	bb	79	3c	17341
1462795661404306	308	00	f9	d7	75	d2	2d	17462
1462795661405317	310	9d	01	2a	00	02	00	17577
1462795661405420	311	f6	df	88	98	c3	66	17698
1462795661407317	313	c1	cb	53	3c	dc	d3	17819
1462795661407420	314	49	94	a6	3d	0f	d8	17940
1462795661433332	318	a3	76	ba	72	91	eb	18061
1462795661433461	319	3c	eb	ca	99	32	35	18182
1462795661434242	321	cd	43	e9	30	f3	79	18303
1462795661434344	322	37	1d	0b	bf	26	65	18424
1462795661462305	324	50	19	6f	2e	7f	e5	18545
1462795661462431	325	82	82	94	bb	6a	c1	18666
1462795661462537	326	84	4f	da	97	8a	bc	18787
1462795661462741	327	9d	01	2a	00	02	00	18870
1462795661462891	328	c4	cc	01	18	b9	68	18991
